geometry,h3_index,bike_path_length,main_roads_length,walks_length,green_space_area,distance_to_city_center,service_amenity_count
"POLYGON ((19.902551902022765 50.06485112001611, 19.898530440145336 50.06222113199377, 19.894486281012224 50.064185299273554, 19.89446354979609 50.068779038821134, 19.898484688478696 50.07140892734903, 19.90252888155621 50.06944517584125, 19.902551902022765 50.06485112001611, 19.902551902022765 50.06485112001611))",885262ce17fffff,261.964010214047,358.69516360567206,16318.844350014646,30033.527229729298,7450.944380428528,198
"POLYGON ((19.902340531445954 50.10618643108423, 19.898320895012986 50.103556419631374, 19.894277515002376 50.1055177657474, 19.894253737881634 50.11010870751977, 19.898273051209223 50.11273861896037, 19.902316464746786 50.11077768865817, 19.902340531445954 50.10618643108423, 19.902340531445954 50.10618643108423))",885262ced1fffff,0.0,1086.7739593773308,10584.524908088903,2121.1339496547425,9884.290947141293,5
"POLYGON ((19.975235062682582 50.05705534922632, 19.971212656318947 50.054423502897144, 19.96716529758618 50.056389593991355, 19.967140311723025 50.060987115079065, 19.971162395106266 50.06361886187071, 19.975209787316967 50.06165318712972, 19.975235062682582 50.05705534922632, 19.975235062682582 50.05705534922632))",885262c08bfffff,1205.9846389066852,1525.9414548448167,32342.727832832385,25261.531395058046,2309.389119211305,90
"POLYGON ((19.894749974808843 50.00903619592694, 19.890726118327947 50.00640645152843, 19.886681251562603 50.00837427233377, 19.88666020669298 50.012971421907466, 19.890683739833964 50.01560106752789, 19.894728641168367 50.01363366237025, 19.894749974808843 50.00903619592694, 19.894749974808843 50.00903619592694))",885262cf57fffff,78.79185140744019,438.0947279451815,25719.087274438847,53650.62758585713,8668.572502089388,78
"POLYGON ((19.942661079281116 50.10953123721645, 19.938641256724758 50.10690018927383, 19.934596241958772 50.10886207865818, 19.934571016542932 50.11345459985807, 19.938590516129448 50.11608554766785, 19.942635564085542 50.11412407442788, 19.942661079281116 50.10953123721645, 19.942661079281116 50.10953123721645))",885262c51dfffff,0.0,0.0,4888.733817917206,52353.50788097644,8368.236609894946,1
"POLYGON ((20.06419465607693 50.03677064882728, 20.060170636383386 50.03413653480514, 20.056119180317626 50.0361057160078, 20.056091710912902 50.04070859419619, 20.060115407868455 50.04334260876353, 20.06416689695066 50.041373844614775, 20.06419465607693 50.03677064882728, 20.06419465607693 50.03677064882728))",885262d525fffff,582.6665493250468,1234.6576596171183,16649.894610515737,0.0,4634.299771304995,9
"POLYGON ((20.088249707462104 50.06638625283233, 20.084226805552944 50.063751497391635, 20.08017489366216 50.06571911956586, 20.08014585112987 50.07032107991631, 20.084168430443732 50.07295573548223, 20.088220374869156 50.070988530590014, 20.088249707462104 50.06638625283233, 20.088249707462104 50.06638625283233))",885262d50bfffff,152.05480373282091,414.160299378931,2465.697077258763,5085.962637392725,6717.469993404054,4
"POLYGON ((19.987301781704975 50.0649515194606, 19.98327962543871 50.062319357512905, 19.97923190722653 50.06428514148346, 19.979206311957334 50.068882670959326, 19.983228145299034 50.0715147332467, 19.98727589681841 50.06954936573595, 19.987301781704975 50.0649515194606, 19.987301781704975 50.0649515194606))",885262c0d1fffff,1618.120376431664,2026.3064203037436,42272.469875181036,2306.0469819316877,2450.7036431532197,270
"POLYGON ((20.104400409881258 50.06772081516629, 20.100377439896988 50.06508564362669, 20.096324879635244 50.067053484691904, 20.096295256941946 50.07165607989915, 20.100317904386433 50.07429115151565, 20.10437049704799 50.07232372786546, 20.104400409881258 50.06772081516629, 20.104400409881258 50.06772081516629))",885262d55dfffff,753.0104734154082,2211.95666217264,17079.2492474319,38182.500035191086,7863.202991931087,2
"POLYGON ((20.06402634238235 50.06438514872567, 20.06000354386027 50.06175101719329, 20.055952605502622 50.063718311108666, 20.055924432914114 50.06831931949123, 20.05994690875779 50.07095335122119, 20.063997879852334 50.068986474388595, 20.06402634238235 50.06438514872567, 20.06402634238235 50.06438514872567))",885262d531fffff,1578.5409623877508,1178.698243061398,13859.65909829651,70392.74121129373,5023.389475954709,16
