geometry,h3_index,bike_path_length,main_roads_length,walks_length,green_space_area,distance_to_city_center,service_amenity_count
"POLYGON ((5.034036763633383 52.41088171230909, 5.038012366615501 52.41207960413765, 5.0415452534874134 52.40915753266585, 5.041102751005649 52.4050373564315, 5.037127098611008 52.40383922227566, 5.033593998098368 52.40676150668005, 5.034036763633383 52.41088171230909, 5.034036763633383 52.41088171230909))",887ab6444dfffff,0.0,699.3086649064574,2812.9111853871077,0.0,10613.546541561858,0
"POLYGON ((4.968608762723463 52.375214082278255, 4.972589324955384 52.37641364930409, 4.976124388897342 52.373489668527576, 4.97567910411828 52.36936590785607, 4.971698492163231 52.368166098327855, 4.968163214698052 52.37109029197203, 4.968608762723463 52.375214082278255, 4.968608762723463 52.375214082278255))",887ab6090dfffff,1121.9189736020808,2728.615144095811,6502.693966981526,502.4441918681073,5427.695806838133,17
"POLYGON ((4.98497424464249 52.3841348472441, 4.988953567410355 52.385333995270216, 4.992488087439073 52.38241049183807, 4.992043498240434 52.37828762749442, 4.988064125827053 52.37708823700974, 4.98452939224552 52.380011953325905, 4.98497424464249 52.3841348472441, 4.98497424464249 52.3841348472441))",887ab6092dfffff,0.0,0.0,4146.795857085137,198.18027774593443,6603.068988935684,143
"POLYGON ((5.015879500131874 52.31364333603367, 5.019859316414795 52.31484490858672, 5.023394797382783 52.31191979531673, 5.022950675740565 52.30779289705281, 5.018970810465618 52.30659108205477, 5.01543511581261 52.309516407764114, 5.015879500131874 52.31364333603367, 5.015879500131874 52.31364333603367))",887ab609b5fffff,1881.7230848174784,1465.612646106639,9778.88273125079,5912.321758196242,11090.767685403365,7
"POLYGON ((4.8349789519642865 52.38684164949679, 4.8389668698526 52.3880415263603, 4.842504423340827 52.385116080823934, 4.842054272129755 52.380990545229444, 4.838066303392833 52.37979042557422, 4.8345285367033455 52.3827160843037, 4.8349789519642865 52.38684164949679, 4.8349789519642865 52.38684164949679))",887ab61833fffff,2974.8362669269513,2678.540220877363,20284.98566428887,33608.61431205327,3865.5186740746517,13
"POLYGON ((4.788832647809078 52.35299950890504, 4.792824326942324 52.35420088776645, 4.796363601036154 52.35127384675316, 4.7959114091064405 52.34714521377797, 4.791919678956772 52.345943591994875, 4.788380191740967 52.34887084610728, 4.788832647809078 52.35299950890504, 4.788832647809078 52.35299950890504))",887ab61a95fffff,3089.6648008522106,2669.2975469552894,25437.594950927876,5867.541682815634,7282.133395287429,68
"POLYGON ((4.845591924332316 52.37806493813603, 4.849579514513071 52.37926507980445, 4.853117052087703 52.37633952435066, 4.852667212703568 52.372213614102364, 4.848679571809502 52.371013229658864, 4.845141821000623 52.37393899823723, 4.845591924332316 52.37806493813603, 4.845591924332316 52.37806493813603))",887ab619dbfffff,3277.952787816501,5290.458622492993,24802.13675744876,104161.4190518687,2959.1869890746857,94
"POLYGON ((4.951824757016618 52.398079373600936, 4.955805549378933 52.39927819108362, 4.959340438793825 52.396354642970536, 4.9588947492984 52.39223206434854, 4.954913906947395 52.39103300434442, 4.9513788040682325 52.39395676548222, 4.951824757016618 52.398079373600936, 4.951824757016618 52.398079373600936))",887ab65491fffff,1212.0940569324544,2308.6221308060176,25063.5063557928,25454.86060298148,4937.241680799278,72
"POLYGON ((4.831891747345367 52.39389230741389, 4.83587961431949 52.39509194148445, 4.839417068985437 52.39216665757716, 4.8389668698526 52.3880415263603, 4.8349789519642865 52.38684164949679, 4.831441284110759 52.389767146641546, 4.831891747345367 52.39389230741389, 4.831891747345367 52.39389230741389))",887ab61831fffff,3761.5896194394973,4738.146046251454,19560.909588133843,10836.04696382349,4362.963504169193,935
"POLYGON ((4.969945068637208 52.38758377869583, 4.973925151375782 52.38878288272123, 4.977459904965316 52.385859276196136, 4.977014789319335 52.381736352712025, 4.973034656796369 52.3805370061971, 4.969499689691526 52.38346082565448, 4.969945068637208 52.38758377869583, 4.969945068637208 52.38758377869583))",887ab60961fffff,1714.6092587527637,3033.166287809202,10053.993357582922,32775.208956132105,5665.657851283942,5
"POLYGON ((4.8855059809907475 52.425972201692126, 4.889489706367502 52.42717035746824, 4.89302532457956 52.424246721043836, 4.8925774306875445 52.42012471553594, 4.888593654634759 52.41892631711287, 4.88505782313774 52.421850166843264, 4.8855059809907475 52.425972201692126, 4.8855059809907475 52.425972201692126))",887ab656d5fffff,936.6891832623243,4638.7079461885,15707.510002648309,30728.957713366413,5564.679383826168,171
"POLYGON ((4.757970463752328 52.42352754464505, 4.76196162910572 52.424726494219684, 4.76549990672528 52.42180107018855, 4.765047231963004 52.41767648303809, 4.761056014935896 52.416477290529485, 4.757517524332558 52.41940292810388, 4.757970463752328 52.42352754464505, 4.757970463752328 52.42352754464505))",887ab61a0dfffff,0.0,0.0,1367.3113994963794,0.0,10363.082192397744,6
"POLYGON ((5.030946571747078 52.41792363693472, 5.03492212525149 52.41912128643472, 5.038454915878123 52.41619937652527, 5.038012366615501 52.41207960413765, 5.034036763633383 52.41088171230909, 5.030503759379289 52.41380383519533, 5.030946571747078 52.41792363693472, 5.030946571747078 52.41792363693472))",887ab6471bfffff,0.0,0.0,1778.6821762561199,2321.30621736133,10733.884626225963,2
"POLYGON ((5.00927238305814 52.35954517169495, 5.01325109382181 52.36074509098086, 5.016785668418951 52.35782120711353, 5.016341745870015 52.35369719125613, 5.012362985795532 52.35249702954619, 5.008828197568499 52.35542112611632, 5.00927238305814 52.35954517169495, 5.00927238305814 52.35954517169495))",887ab646c3fffff,866.1849676111267,0.0,3168.400349224995,0.0,8399.67199119802,16
"POLYGON ((4.837098907553013 52.335591215072284, 4.841088366979964 52.33679296848678, 4.844627052750585 52.33386607703584, 4.844176492334281 52.32973721925954, 4.840186982374942 52.32853522301775, 4.836648083352067 52.331462327378105, 4.837098907553013 52.335591215072284, 4.837098907553013 52.335591215072284))",887ab61891fffff,1155.3086202911486,0.0,4935.957420284609,132070.15675453024,5717.031964014414,9
"POLYGON ((5.053470110399712 52.4127510760383, 5.057444522327752 52.413948791685186, 5.060976960332999 52.4110270359576, 5.06053520008089 52.40690735167719, 5.056560738883182 52.40570939374798, 5.053028087194965 52.408631362380156, 5.053470110399712 52.4127510760383, 5.053470110399712 52.4127510760383))",887ab64461fffff,0.0,0.0,0.0,0.0,11924.171922743917,0
